Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2019-03-11	u2019-03-11-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2019-03-11	u2019-03-11-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	Opposition	Centre-left to left	BuranySandor	Burány, Sándor	M	1956	
ParlaMint-HU-en_2019-03-11	u2019-03-11-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2019-03-11	u2019-03-11-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	JuhaszHajnalka	Juhász, Hajnalka	F	1980	
ParlaMint-HU-en_2019-03-11	u2019-03-11-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Guest	notMP	notMinister	KDNP	Christian Democratic People's Party	-	Right	AzbejTristan	Azbej, Tristan	M	1979	
ParlaMint-HU-en_2019-03-11	u2019-03-11-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	GyongyosiMarton	Gyöngyösi, Márton	M	1977	
ParlaMint-HU-en_2019-03-11	u2019-03-11-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-23	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	OrbanBalazs	Orbán, Balázs András	M	1986	
ParlaMint-HU-en_2019-03-11	u2019-03-11-24	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-25	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	OrbanBalazs	Orbán, Balázs András	M	1986	
ParlaMint-HU-en_2019-03-11	u2019-03-11-26	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-27	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	HendeCsaba	Hende, Csaba	M	1960	
ParlaMint-HU-en_2019-03-11	u2019-03-11-28	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-29	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2019-03-11	u2019-03-11-30	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-31	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	PinterTamas	Pintér, Tamás	M	1981	
ParlaMint-HU-en_2019-03-11	u2019-03-11-32	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-33	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	BodoSandor	Bodó, Sándor	M	1963	
ParlaMint-HU-en_2019-03-11	u2019-03-11-34	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-35	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	TothCsaba	Tóth, Csaba	M	1960	
ParlaMint-HU-en_2019-03-11	u2019-03-11-36	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-37	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2019-03-11	u2019-03-11-38	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-39	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	GreczyZsolt	Gréczy, Zsolt	M	1964	
ParlaMint-HU-en_2019-03-11	u2019-03-11-40	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-41	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2019-03-11	u2019-03-11-42	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-43	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	Opposition	Centre to centre-left	CsardiAntal	Csárdi, Antal	M	1976	
ParlaMint-HU-en_2019-03-11	u2019-03-11-44	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-45	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	FarkasSandor	Farkas, Sándor	M	1953	
ParlaMint-HU-en_2019-03-11	u2019-03-11-46	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-47	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	Opposition	Centre-left to left	TordaiBence	Tordai, Bence	M	1981	
ParlaMint-HU-en_2019-03-11	u2019-03-11-48	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-49	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	CseresnyesPeter	Cseresnyés, Péter	M	1960	
ParlaMint-HU-en_2019-03-11	u2019-03-11-50	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-51	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DunaiMonika	Dunai, Mónika	F	1966	
ParlaMint-HU-en_2019-03-11	u2019-03-11-52	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-53	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MenczerTamas	Menczer, Tamás	M	1984	
ParlaMint-HU-en_2019-03-11	u2019-03-11-54	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-55	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	StummerJanos	Stummer, János	M	1984	
ParlaMint-HU-en_2019-03-11	u2019-03-11-56	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-03-11	u2019-03-11-57	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2019-03-11	u2019-03-11-58	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 20, day 3, 2019-03-11 [ParlaMint.ana]	2019-03-11	Unicameralism	8. ciklus	-	20. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
