Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2019-02-19	u2019-02-19-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	BodoSandor	Bodó, Sándor	M	1963	
ParlaMint-HU-en_2019-02-19	u2019-02-19-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	Opposition	Centre to centre-left	UngarPeter	Ungár, Péter	M	1991	
ParlaMint-HU-en_2019-02-19	u2019-02-19-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2019-02-19	u2019-02-19-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2019-02-19	u2019-02-19-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	VarjuLaszlo	Varju, László	M	1961	
ParlaMint-HU-en_2019-02-19	u2019-02-19-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	BodoSandor	Bodó, Sándor	M	1963	
ParlaMint-HU-en_2019-02-19	u2019-02-19-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-23	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	NacsaLorinc	Nacsa, Lőrinc	M	1990	
ParlaMint-HU-en_2019-02-19	u2019-02-19-24	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-25	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2019-02-19	u2019-02-19-26	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-27	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	VargaLaszlo	Varga, László	M	1979	
ParlaMint-HU-en_2019-02-19	u2019-02-19-28	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-29	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2019-02-19	u2019-02-19-30	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-31	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	BoroczLaszlo	Böröcz, László	M	1983	
ParlaMint-HU-en_2019-02-19	u2019-02-19-32	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-33	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2019-02-19	u2019-02-19-34	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-35	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Guest	notMP	Minister	-	-	-	-	PalkovicsLaszlo	Palkovics, László	M	1965	
ParlaMint-HU-en_2019-02-19	u2019-02-19-36	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-37	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	PosanLaszlo	Pósán, László	M	1965	
ParlaMint-HU-en_2019-02-19	u2019-02-19-38	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-39	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	Opposition	Centre-right	BrennerKoloman	Brenner, Koloman	M	1968	
ParlaMint-HU-en_2019-02-19	u2019-02-19-40	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2019-02-19	u2019-02-19-41	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2019-02-19	u2019-02-19-42	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2019-02-19	u2019-02-19-43	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	AratoGergely	Arató, Gergely	M	1968	
ParlaMint-HU-en_2019-02-19	u2019-02-19-44	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2019-02-19	u2019-02-19-45	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	Opposition	Centre to centre-left	UngarPeter	Ungár, Péter	M	1991	
ParlaMint-HU-en_2019-02-19	u2019-02-19-46	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2019-02-19	u2019-02-19-47	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	Opposition	Centre-left to left	MellarTamas	Mellar, Tamás	M	1954	
ParlaMint-HU-en_2019-02-19	u2019-02-19-48	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2019-02-19	u2019-02-19-49	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	NacsaLorinc	Nacsa, Lőrinc	M	1990	
ParlaMint-HU-en_2019-02-19	u2019-02-19-50	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2019-02-19	u2019-02-19-51	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	NacsaLorinc	Nacsa, Lőrinc	M	1990	
ParlaMint-HU-en_2019-02-19	u2019-02-19-52	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2019-02-19	u2019-02-19-53	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	-	-	-	-	SzaboSzabolcs	Szabó, Szabolcs	M	1979	
ParlaMint-HU-en_2019-02-19	u2019-02-19-54	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2019-02-19	u2019-02-19-55	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Guest	notMP	Minister	-	-	-	-	PalkovicsLaszlo	Palkovics, László	M	1965	
ParlaMint-HU-en_2019-02-19	u2019-02-19-56	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2019-02-19	u2019-02-19-57	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	AratoGergely	Arató, Gergely	M	1968	
ParlaMint-HU-en_2019-02-19	u2019-02-19-58	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2019-02-19	u2019-02-19-59	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2019 spring, meeting 19, day 2, 2019-02-19 [ParlaMint.ana]	2019-02-19	Unicameralism	8. ciklus	-	19. ülés	2. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	PosanLaszlo	Pósán, László	M	1965	
