Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2018-03-21	u2018-03-21-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 93, day 1, 2018-03-21 [ParlaMint.ana]	2018-03-21	Unicameralism	7. ciklus	-	93. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2018-03-21	u2018-03-21-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 93, day 1, 2018-03-21 [ParlaMint.ana]	2018-03-21	Unicameralism	7. ciklus	-	93. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	TothBertalan	Tóth, Bertalan	M	1975	
ParlaMint-HU-en_2018-03-21	u2018-03-21-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 93, day 1, 2018-03-21 [ParlaMint.ana]	2018-03-21	Unicameralism	7. ciklus	-	93. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2018-03-21	u2018-03-21-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 93, day 1, 2018-03-21 [ParlaMint.ana]	2018-03-21	Unicameralism	7. ciklus	-	93. ülés	1. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2018-03-21	u2018-03-21-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 93, day 1, 2018-03-21 [ParlaMint.ana]	2018-03-21	Unicameralism	7. ciklus	-	93. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2018-03-21	u2018-03-21-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 93, day 1, 2018-03-21 [ParlaMint.ana]	2018-03-21	Unicameralism	7. ciklus	-	93. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	ZKarpatDaniel	Z. Kárpát, Dániel	M	1979	
ParlaMint-HU-en_2018-03-21	u2018-03-21-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 93, day 1, 2018-03-21 [ParlaMint.ana]	2018-03-21	Unicameralism	7. ciklus	-	93. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2018-03-21	u2018-03-21-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 93, day 1, 2018-03-21 [ParlaMint.ana]	2018-03-21	Unicameralism	7. ciklus	-	93. ülés	1. ülésnap	-	Reference	English	Regular	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	DomotorCsaba	Dömötör, Csaba	M	1982	
ParlaMint-HU-en_2018-03-21	u2018-03-21-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 93, day 1, 2018-03-21 [ParlaMint.ana]	2018-03-21	Unicameralism	7. ciklus	-	93. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2018-03-21	u2018-03-21-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 93, day 1, 2018-03-21 [ParlaMint.ana]	2018-03-21	Unicameralism	7. ciklus	-	93. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SzelBernadett	Szél, Bernadett	F	1977	
ParlaMint-HU-en_2018-03-21	u2018-03-21-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 93, day 1, 2018-03-21 [ParlaMint.ana]	2018-03-21	Unicameralism	7. ciklus	-	93. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
ParlaMint-HU-en_2018-03-21	u2018-03-21-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 93, day 1, 2018-03-21 [ParlaMint.ana]	2018-03-21	Unicameralism	7. ciklus	-	93. ülés	1. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2018-03-21	u2018-03-21-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 spring, meeting 93, day 1, 2018-03-21 [ParlaMint.ana]	2018-03-21	Unicameralism	7. ciklus	-	93. ülés	1. ülésnap	-	Reference	English	Chairperson	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	LatorcaiJanos	Latorcai, János	M	1944	
