Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2020-04-20	u2020-04-20-0	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 1, 2020-04-20 [ParlaMint.ana]	2020-04-20	Unicameralism	8. ciklus	-	44. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2020-04-20	u2020-04-20-1	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 1, 2020-04-20 [ParlaMint.ana]	2020-04-20	Unicameralism	8. ciklus	-	44. ülés	1. ülésnap	-	COVID	English	Regular	MP	Minister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	Coalition	Right to far-right	SzijjartoPeter	Szijjártó, Péter	M	1978	
ParlaMint-HU-en_2020-04-20	u2020-04-20-2	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 1, 2020-04-20 [ParlaMint.ana]	2020-04-20	Unicameralism	8. ciklus	-	44. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2020-04-20	u2020-04-20-3	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 1, 2020-04-20 [ParlaMint.ana]	2020-04-20	Unicameralism	8. ciklus	-	44. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	DK-frakció	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	Opposition	Centre-left	AratoGergely	Arató, Gergely	M	1968	
ParlaMint-HU-en_2020-04-20	u2020-04-20-4	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 1, 2020-04-20 [ParlaMint.ana]	2020-04-20	Unicameralism	8. ciklus	-	44. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2020-04-20	u2020-04-20-5	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 1, 2020-04-20 [ParlaMint.ana]	2020-04-20	Unicameralism	8. ciklus	-	44. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	Párbeszéd-frakció	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	Opposition	Centre-left to left	SzaboTimea	Szabó, Tímea	F	1976	
ParlaMint-HU-en_2020-04-20	u2020-04-20-6	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 1, 2020-04-20 [ParlaMint.ana]	2020-04-20	Unicameralism	8. ciklus	-	44. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2020-04-20	u2020-04-20-7	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 1, 2020-04-20 [ParlaMint.ana]	2020-04-20	Unicameralism	8. ciklus	-	44. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	Opposition	Centre to centre-left	KeresztesLaszloLorant	Keresztes, László Lóránt	M	1975	
ParlaMint-HU-en_2020-04-20	u2020-04-20-8	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 1, 2020-04-20 [ParlaMint.ana]	2020-04-20	Unicameralism	8. ciklus	-	44. ülés	1. ülésnap	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	KoverLaszlo	Kövér, László	M	1959	
ParlaMint-HU-en_2020-04-20	u2020-04-20-9	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2020 spring, meeting 44, day 1, 2020-04-20 [ParlaMint.ana]	2020-04-20	Unicameralism	8. ciklus	-	44. ülés	1. ülésnap	-	COVID	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	Coalition	Right	HollikIstvan	Hollik, István	M	1982	
