Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HU-en_2016-02-22	u2016-02-22-10	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-02-22	u2016-02-22-11	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	KosaLajos	Kósa, Lajos	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-12	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-02-22	u2016-02-22-13	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	OrbanViktor	Orbán, Viktor	M	1963	
ParlaMint-HU-en_2016-02-22	u2016-02-22-14	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-02-22	u2016-02-22-15	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	DuroDora	Dúró, Dóra	F	1987	
ParlaMint-HU-en_2016-02-22	u2016-02-22-16	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-02-22	u2016-02-22-17	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2016-02-22	u2016-02-22-18	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-02-22	u2016-02-22-19	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	SchmuckErzsebet	Schmuck, Erzsébet	F	1954	
ParlaMint-HU-en_2016-02-22	u2016-02-22-20	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-02-22	u2016-02-22-21	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2016-02-22	u2016-02-22-22	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-02-22	u2016-02-22-23	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	TobiasJozsef	Tóbiás, József	M	1970	
ParlaMint-HU-en_2016-02-22	u2016-02-22-24	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-02-22	u2016-02-22-25	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2016-02-22	u2016-02-22-26	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	JakabIstvan	Jakab, István	M	1949	
ParlaMint-HU-en_2016-02-22	u2016-02-22-27	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	SzaszfalviLaszlo	Szászfalvi, László	M	1961	
ParlaMint-HU-en_2016-02-22	u2016-02-22-28	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-29	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	KisMiklosZsolt	Kis, Miklós Zsolt	M	1979	
ParlaMint-HU-en_2016-02-22	u2016-02-22-30	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-31	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	NemethZsolt	Németh, Zsolt	M	1963	
ParlaMint-HU-en_2016-02-22	u2016-02-22-32	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-33	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	Minister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	SzijjartoPeter	Szijjártó, Péter	M	1978	
ParlaMint-HU-en_2016-02-22	u2016-02-22-34	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-35	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	SzaboSandor	Szabó, Sándor	M	1975	
ParlaMint-HU-en_2016-02-22	u2016-02-22-36	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-37	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2016-02-22	u2016-02-22-38	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-39	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2016-02-22	u2016-02-22-40	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-41	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	MagyarZoltan	Magyar, Zoltán	M	1982	
ParlaMint-HU-en_2016-02-22	u2016-02-22-42	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-43	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	BitayMartonOrs	Bitay, Márton Örs	M	1980	
ParlaMint-HU-en_2016-02-22	u2016-02-22-44	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-45	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	LMP-frakció	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	Opposition	Centre to centre-left	IkotityIstvan	Ikotity, István	M	1977	
ParlaMint-HU-en_2016-02-22	u2016-02-22-46	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-47	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2016-02-22	u2016-02-22-48	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-49	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	Fidesz-frakció	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	Coalition	Right to far-right	RizGabor	Riz, Gábor	M	1956	
ParlaMint-HU-en_2016-02-22	u2016-02-22-50	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-51	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Guest	notMP	notMinister	Fidesz	Fidesz – Hungarian Civic Alliance	-	Right to far-right	CsepreghyNandor	Csepreghy, Nándor	M	1983	
ParlaMint-HU-en_2016-02-22	u2016-02-22-52	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-53	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	TukacsIstvan	Tukacs, István	M	1958	
ParlaMint-HU-en_2016-02-22	u2016-02-22-54	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-55	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
ParlaMint-HU-en_2016-02-22	u2016-02-22-56	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-57	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	JOBBIK-frakció	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	Opposition	Centre-right	VagoSebestyen	Vágó, Sebestyén	M	1976	
ParlaMint-HU-en_2016-02-22	u2016-02-22-58	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Chairperson	MP	notMinister	MSZP-frakció	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	Opposition	Centre-left	HillerIstvan	Hiller, István	M	1964	
ParlaMint-HU-en_2016-02-22	u2016-02-22-59	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2016 spring, meeting 52, day 3, 2016-02-22 [ParlaMint.ana]	2016-02-22	Unicameralism	7. ciklus	-	52. ülés	3. ülésnap	-	Reference	English	Regular	MP	notMinister	KNDP-frakció	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	Coalition	Right	RetvariBence	Rétvári, Bence	M	1979	
